county_fips,county_name,year,child_pop,child_poverty_rate,pct_black,pct_native_american,pct_hispanic,housing_burden_rate
06075,San Francisco,2011,107294,7.96,6.26,33.97,15.13,42.81
06011,Colusa,2011,6356,15.2,0.97,1.2,54.64,42.73
06031,Kings,2011,42256,21.59,8.14,4.26,56.62,44.37
06019,Fresno,2011,276004,22.59,5.15,9.67,50.73,53.19
06059,Orange,2011,738138,9.51,1.68,18.04,33.68,53.57
06101,Sutter,2011,26055,15.81,1.93,14.0,28.62,48.9
06077,San Joaquin,2011,200978,15.04,7.58,14.72,39.19,54.68
06073,San Diego,2011,721299,11.08,5.17,11.19,32.5,54.42
06107,Tulare,2011,142404,22.21,1.66,3.52,60.63,49.51
06113,Yolo,2011,44929,11.8,2.62,13.39,31.01,56.57
06023,Humboldt,2011,26920,14.45,1.23,2.42,9.87,56.04
06057,Nevada,2011,19295,8.35,0.54,1.41,8.4,57.65
06003,Alpine,2011,284,9.15,0.0,3.49,7.33,32.86
06039,Madera,2011,42650,19.94,3.54,2.12,56.35,47.21
06045,Mendocino,2011,19511,16.59,1.1,1.81,22.06,52.16
06087,Santa Cruz,2011,55018,10.14,1.02,4.3,32.38,56.03
06105,Trinity,2011,2546,15.67,0.39,1.18,6.88,47.19
06037,Los Angeles,2011,2427831,15.01,8.76,13.99,48.21,55.07
06065,Riverside,2011,616909,13.07,6.41,6.02,45.7,57.19
06071,San Bernardino,2011,598000,14.48,8.91,6.42,49.76,55.79
06085,Santa Clara,2011,425396,7.49,2.61,32.3,26.99,44.04
06041,Marin,2011,51785,4.96,3.09,5.78,15.42,53.02
06061,Placer,2011,84378,5.2,1.34,6.02,12.69,51.61
06093,Siskiyou,2011,9276,19.32,1.18,1.34,10.32,52.94
06089,Shasta,2011,40201,15.28,0.95,2.65,8.4,54.83
06095,Solano,2011,102270,10.35,15.31,15.05,24.76,52.96
06015,Del Norte,2011,6343,20.54,3.74,3.55,19.95,55.15
06021,Glenn,2011,7892,16.79,0.95,2.34,37.3,49.81
06007,Butte,2011,46172,15.99,1.57,4.32,14.26,56.96
06063,Plumas,2011,3735,11.67,1.38,1.05,8.13,42.68
